date,収支タイプ,収支カテゴリー,収支項目,金額,目標
2024-12-18,一般収支,支出,生活費,-0.0,0
2024-12-18,特別収支,支出,自動車税,-0.0,0
2024-12-18,特別収支,支出,固定資産税,-0.0,0
2024-12-18,特別収支,収入,特典,0.0,0
2024-12-18,特別収支,収入,児童手当,0.0,0
2024-12-18,一般収支,支出,ローン返済,-0.0,0
2024-12-18,特別収支,支出,ローン一括,-0.0,0
2024-12-18,特別収支,支出,家電,-0.0,0
2024-12-18,特別収支,収入,退職金,0.0,0
2024-12-18,特別収支,収入,年末調整,0.0,0
2024-12-18,特別収支,支出,車検A,-0.0,0
2024-12-19,特別収支,収入,特典,0.0,0
2024-12-19,特別収支,収入,NTT,0.0,0
2024-12-19,一般収支,支出,子供費用,-0.0,0
2024-12-19,特別収支,支出,車検A,-0.0,0
2024-12-19,特別収支,支出,固定資産税,-0.0,0
2024-12-19,特別収支,収入,贈与,0.0,0
2024-12-19,特別収支,支出,車検B,-0.0,0
2024-12-19,特別収支,収入,賞与,0.0,0
2024-12-19,特別収支,収入,児童手当,0.0,0
2024-12-19,一般収支,収入,給与,0.0,0
2024-12-19,特別収支,支出,家電,-0.0,0
2024-12-19,特別収支,支出,ローン一括,-0.0,0
2024-12-19,一般収支,支出,生活費,-0.0,0
2024-12-19,特別収支,収入,所得税還付,0.0,0.0
2024-12-19,特別収支,支出,ふるさと納税,-0.0,0
2024-12-19,特別収支,支出,子供,-0.0,0
2024-12-19,特別収支,収入,退職金,0.0,0
2024-12-19,一般収支,支出,ローン返済,-0.0,0
2024-12-19,特別収支,支出,車,-0.0,0
2024-12-19,特別収支,収入,年末調整,0.0,0
2024-12-19,一般収支,収入,ポイント,2520.0,0
2024-12-19,特別収支,支出,自動車税,-0.0,0
2024-12-20,一般収支,支出,子供費用,-0.0,0
2024-12-20,一般収支,支出,生活費,-0.0,0
2024-12-20,特別収支,支出,車検B,-0.0,0
2024-12-20,特別収支,支出,子供,-0.0,0
2024-12-20,特別収支,収入,特典,0.0,0
2024-12-20,特別収支,支出,家電,-0.0,0
2024-12-20,特別収支,収入,賞与,0.0,0
2024-12-20,特別収支,収入,退職金,0.0,0
2024-12-20,一般収支,支出,ローン返済,-0.0,0
2024-12-20,特別収支,収入,児童手当,0.0,0
2024-12-20,特別収支,支出,自動車税,-0.0,0
2024-12-20,特別収支,収入,贈与,0.0,0
2024-12-20,特別収支,支出,固定資産税,-0.0,0
2024-12-20,特別収支,支出,車,-0.0,0
2024-12-20,特別収支,収入,NTT,0.0,0
2024-12-20,特別収支,収入,年末調整,0.0,0
2024-12-20,特別収支,支出,車検A,-0.0,0
2024-12-20,特別収支,収入,所得税還付,0.0,0.0
2024-12-20,特別収支,支出,ふるさと納税,-0.0,0
2024-12-20,一般収支,収入,ポイント,-293.0,0
2024-12-20,特別収支,支出,ローン一括,-0.0,0
2024-12-20,一般収支,収入,給与,0.0,0
2024-12-21,特別収支,支出,車検A,-0.0,0
2024-12-21,一般収支,支出,生活費,-0.0,0
2024-12-21,特別収支,支出,自動車税,-0.0,0
2024-12-21,特別収支,収入,特典,0.0,0
2024-12-21,特別収支,支出,ローン一括,-0.0,0
2024-12-21,特別収支,支出,固定資産税,-0.0,0
2024-12-21,特別収支,収入,退職金,0.0,0
2024-12-21,一般収支,支出,ローン返済,-0.0,0
2024-12-21,特別収支,支出,家電,-0.0,0
2024-12-21,特別収支,収入,年末調整,0.0,0
2024-12-21,一般収支,収入,給与,0.0,0
2024-12-21,特別収支,収入,所得税還付,0.0,0.0
2024-12-21,特別収支,支出,車検B,-0.0,0
2024-12-21,特別収支,収入,児童手当,0.0,0
2024-12-21,特別収支,支出,子供,-0.0,0
2024-12-21,一般収支,支出,子供費用,-0.0,0
2024-12-21,特別収支,収入,NTT,0.0,0
2024-12-21,特別収支,収入,賞与,0.0,0
2024-12-21,特別収支,支出,ふるさと納税,-0.0,0
2024-12-21,特別収支,支出,車,-0.0,0
2024-12-21,一般収支,収入,ポイント,0.0,0
2024-12-21,特別収支,収入,贈与,0.0,0
2024-12-22,特別収支,支出,ローン一括,-0.0,0
2024-12-22,一般収支,収入,ポイント,5558.0,0
2024-12-22,一般収支,支出,生活費,-0.0,0
2024-12-22,特別収支,支出,自動車税,-0.0,0
2024-12-22,特別収支,支出,車検B,-0.0,0
2024-12-22,特別収支,収入,所得税還付,0.0,0.0
2024-12-22,一般収支,支出,子供費用,-0.0,0
2024-12-22,特別収支,収入,特典,0.0,0
2024-12-22,特別収支,収入,退職金,0.0,0
2024-12-22,特別収支,支出,ふるさと納税,19000.0,0
2024-12-22,特別収支,収入,NTT,0.0,0
2024-12-22,特別収支,支出,固定資産税,-0.0,0
2024-12-22,特別収支,支出,車,-0.0,0
2024-12-22,特別収支,収入,年末調整,0.0,0
2024-12-22,特別収支,収入,贈与,0.0,0
2024-12-22,特別収支,収入,賞与,0.0,0
2024-12-22,一般収支,支出,ローン返済,-0.0,0
2024-12-22,特別収支,支出,子供,-0.0,0
2024-12-22,特別収支,支出,家電,-0.0,0
2024-12-22,特別収支,収入,児童手当,0.0,0
2024-12-22,一般収支,収入,給与,0.0,0
2024-12-22,特別収支,支出,車検A,-0.0,0
2024-12-23,特別収支,支出,家電,-0.0,0
2024-12-23,特別収支,収入,退職金,0.0,0
2024-12-23,特別収支,支出,車,-0.0,0
2024-12-23,一般収支,支出,ローン返済,-0.0,0
2024-12-23,特別収支,支出,車検A,-0.0,0
2024-12-23,一般収支,収入,給与,0.0,0
2024-12-23,特別収支,支出,ふるさと納税,-0.0,0
2024-12-23,特別収支,収入,年末調整,0.0,0
2024-12-23,特別収支,支出,自動車税,-0.0,0
2024-12-23,特別収支,支出,ローン一括,-0.0,0
2024-12-23,一般収支,収入,ポイント,-7.0,0
2024-12-23,一般収支,支出,子供費用,1280.0,0
2024-12-23,特別収支,収入,所得税還付,0.0,0.0
2024-12-23,特別収支,収入,NTT,0.0,0
2024-12-23,特別収支,収入,賞与,0.0,0
2024-12-23,特別収支,収入,贈与,0.0,0
2024-12-23,特別収支,支出,子供,-0.0,0
2024-12-23,特別収支,支出,車検B,-0.0,0
2024-12-23,一般収支,支出,生活費,-0.0,0
2024-12-23,特別収支,支出,固定資産税,-0.0,0
2024-12-23,特別収支,収入,児童手当,0.0,0
2024-12-23,特別収支,収入,特典,0.0,0
2024-12-24,特別収支,支出,車検A,-0.0,0
2024-12-24,特別収支,収入,特典,0.0,0
2024-12-24,一般収支,収入,ポイント,-124.0,0
2024-12-24,一般収支,支出,子供費用,-0.0,0
2024-12-24,特別収支,支出,家電,-0.0,0
2024-12-24,特別収支,収入,所得税還付,0.0,0.0
2024-12-24,特別収支,収入,賞与,0.0,0
2024-12-24,特別収支,支出,固定資産税,-0.0,0
2024-12-24,特別収支,収入,年末調整,0.0,0
2024-12-24,一般収支,収入,給与,0.0,0
2024-12-24,特別収支,支出,車検B,-0.0,0
2024-12-24,特別収支,支出,ローン一括,-0.0,0
2024-12-24,特別収支,支出,自動車税,-0.0,0
2024-12-24,一般収支,支出,ローン返済,-0.0,0
2024-12-24,特別収支,支出,子供,-0.0,0
2024-12-24,特別収支,収入,贈与,0.0,0
2024-12-24,特別収支,支出,車,-0.0,0
2024-12-24,特別収支,支出,ふるさと納税,-0.0,0
2024-12-24,特別収支,収入,児童手当,0.0,0
2024-12-24,特別収支,収入,NTT,0.0,0
2024-12-24,一般収支,支出,生活費,-0.0,0
2024-12-24,特別収支,収入,退職金,0.0,0
2024-12-25,特別収支,支出,固定資産税,-0.0,0
2024-12-25,特別収支,収入,特典,0.0,0
